Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
1.67,2023-09-15,call,TSLA230915C00001670,226.5,222.8,225.05,-9.600006,-4.0660763,6.0,848.0,13.664063959960936,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-14 18:17:51,"{'contractSymbol': 'TSLA230915C00001670', 'strike': 1.67, 'currency': 'USD', 'lastPrice': 226.5, 'change': -9.600006, 'percentChange': -4.0660763, 'volume': 6, 'openInterest': 848, 'bid': 222.8, 'ask': 225.05, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1692037071, 'impliedVolatility': 13.664063959960936, 'inTheMoney': True}"
1.67,2023-09-15,put,TSLA230915P00001670,0.01,0.0,0.01,0.0,0.0,20.0,20439.0,5.500003124999999,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-15 19:21:30,"{'contractSymbol': 'TSLA230915P00001670', 'strike': 1.67, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 20, 'openInterest': 20439, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1692127290, 'impliedVolatility': 5.500003124999999, 'inTheMoney': False}"
1.67,2024-01-19,call,TSLA240119C00001670,224.38,222.7,224.5,-23.419998,-9.45117,11.0,927.0,4.632816708984375,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-16 19:20:09,"{'contractSymbol': 'TSLA240119C00001670', 'strike': 1.67, 'currency': 'USD', 'lastPrice': 224.38, 'change': -23.419998, 'percentChange': -9.45117, 'volume': 11, 'openInterest': 927, 'bid': 222.7, 'ask': 224.5, 'contractSize': 'REGULAR', 'expiration': 1705622400, 'lastTradeDate': 1692213609, 'impliedVolatility': 4.632816708984375, 'inTheMoney': True}"
1.67,2024-01-19,put,TSLA240119P00001670,0.01,0.0,0.01,0.0,0.0,2.0,34691.0,2.3750040624999995,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-08 14:30:39,"{'contractSymbol': 'TSLA240119P00001670', 'strike': 1.67, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 2, 'openInterest': 34691, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1705622400, 'lastTradeDate': 1691505039, 'impliedVolatility': 2.3750040624999995, 'inTheMoney': False}"
1.67,2024-03-15,call,TSLA240315C00001670,227.0,221.55,226.15,-5.0,-2.1551723,5.0,86.0,0.0,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-15 18:20:05,"{'contractSymbol': 'TSLA240315C00001670', 'strike': 1.67, 'currency': 'USD', 'lastPrice': 227.0, 'change': -5.0, 'percentChange': -2.1551723, 'volume': 5, 'openInterest': 86, 'bid': 221.55, 'ask': 226.15, 'contractSize': 'REGULAR', 'expiration': 1710460800, 'lastTradeDate': 1692123605, 'impliedVolatility': 0.0, 'inTheMoney': True}"
1.67,2024-03-15,put,TSLA240315P00001670,0.01,0.0,0.01,0.0,0.0,1.0,6625.0,2.0625048437499998,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-07-20 13:44:17,"{'contractSymbol': 'TSLA240315P00001670', 'strike': 1.67, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 6625, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1710460800, 'lastTradeDate': 1689860657, 'impliedVolatility': 2.0625048437499998, 'inTheMoney': False}"
1.67,2024-06-21,call,TSLA240621C00001670,275.33,250.3,258.25,0.0,0.0,1.0,767.0,0.0,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-07-03 13:31:22,"{'contractSymbol': 'TSLA240621C00001670', 'strike': 1.67, 'currency': 'USD', 'lastPrice': 275.33, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 767, 'bid': 250.3, 'ask': 258.25, 'contractSize': 'REGULAR', 'expiration': 1718928000, 'lastTradeDate': 1688391082, 'impliedVolatility': 0.0, 'inTheMoney': True}"
1.67,2024-06-21,put,TSLA240621P00001670,0.01,0.0,0.01,0.0,0.0,50.0,18575.0,1.6875015625,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-16 16:42:34,"{'contractSymbol': 'TSLA240621P00001670', 'strike': 1.67, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 50, 'openInterest': 18575, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1718928000, 'lastTradeDate': 1692204154, 'impliedVolatility': 1.6875015625, 'inTheMoney': False}"
3.33,2023-09-15,call,TSLA230915C00003330,247.45,221.15,222.9,0.0,0.0,6.0,1090.0,8.42969223144531,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-07 13:40:13,"{'contractSymbol': 'TSLA230915C00003330', 'strike': 3.33, 'currency': 'USD', 'lastPrice': 247.45, 'change': 0.0, 'percentChange': 0.0, 'volume': 6, 'openInterest': 1090, 'bid': 221.15, 'ask': 222.9, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1691415613, 'impliedVolatility': 8.42969223144531, 'inTheMoney': True}"
3.33,2023-09-15,put,TSLA230915P00003330,0.01,0.0,0.01,0.0,0.0,3.0,2861.0,4.500004375,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-15 19:05:40,"{'contractSymbol': 'TSLA230915P00003330', 'strike': 3.33, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 3, 'openInterest': 2861, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1692126340, 'impliedVolatility': 4.500004375, 'inTheMoney': False}"
3.33,2024-01-19,call,TSLA240119C00003330,226.55,220.55,223.95,-3.4199982,-1.4871497,8.0,81.0,4.9453163183593745,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-16 13:31:53,"{'contractSymbol': 'TSLA240119C00003330', 'strike': 3.33, 'currency': 'USD', 'lastPrice': 226.55, 'change': -3.4199982, 'percentChange': -1.4871497, 'volume': 8, 'openInterest': 81, 'bid': 220.55, 'ask': 223.95, 'contractSize': 'REGULAR', 'expiration': 1705622400, 'lastTradeDate': 1692192713, 'impliedVolatility': 4.9453163183593745, 'inTheMoney': True}"
3.33,2024-01-19,put,TSLA240119P00003330,0.01,0.0,0.0,0.0,0.0,5.0,9605.0,0.500005,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-07-20 13:30:08,"{'contractSymbol': 'TSLA240119P00003330', 'strike': 3.33, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 9605, 'bid': 0.0, 'ask': 0.0, 'contractSize': 'REGULAR', 'expiration': 1705622400, 'lastTradeDate': 1689859808, 'impliedVolatility': 0.500005, 'inTheMoney': False}"
3.33,2024-03-15,call,TSLA240315C00003330,223.1,219.95,224.5,42.14,23.286913,8.0,24.0,4.867191416015624,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-16 19:18:36,"{'contractSymbol': 'TSLA240315C00003330', 'strike': 3.33, 'currency': 'USD', 'lastPrice': 223.1, 'change': 42.14, 'percentChange': 23.286913, 'volume': 8, 'openInterest': 24, 'bid': 219.95, 'ask': 224.5, 'contractSize': 'REGULAR', 'expiration': 1710460800, 'lastTradeDate': 1692213516, 'impliedVolatility': 4.867191416015624, 'inTheMoney': True}"
3.33,2024-03-15,put,TSLA240315P00003330,0.01,0.0,0.01,0.0,0.0,14.0,2913.0,1.6875015625,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-07-21 15:28:12,"{'contractSymbol': 'TSLA240315P00003330', 'strike': 3.33, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 14, 'openInterest': 2913, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1710460800, 'lastTradeDate': 1689953292, 'impliedVolatility': 1.6875015625, 'inTheMoney': False}"
3.33,2024-06-21,call,TSLA240621C00003330,178.99,249.0,257.6,0.0,0.0,1.0,149.0,0.0,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-05-25 14:08:23,"{'contractSymbol': 'TSLA240621C00003330', 'strike': 3.33, 'currency': 'USD', 'lastPrice': 178.99, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 149, 'bid': 249.0, 'ask': 257.6, 'contractSize': 'REGULAR', 'expiration': 1718928000, 'lastTradeDate': 1685023703, 'impliedVolatility': 0.0, 'inTheMoney': True}"
3.33,2024-06-21,put,TSLA240621P00003330,0.01,0.0,0.01,0.0,0.0,2.0,3489.0,1.4375028125,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-07-13 19:18:29,"{'contractSymbol': 'TSLA240621P00003330', 'strike': 3.33, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 2, 'openInterest': 3489, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1718928000, 'lastTradeDate': 1689275909, 'impliedVolatility': 1.4375028125, 'inTheMoney': False}"
5.0,2023-09-15,call,TSLA230915C00005000,230.5,219.5,221.8,0.0,0.0,1.0,354.0,5.0312537109374995,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-15 15:52:29,"{'contractSymbol': 'TSLA230915C00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 230.5, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 354, 'bid': 219.5, 'ask': 221.8, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1692114749, 'impliedVolatility': 5.0312537109374995, 'inTheMoney': True}"
5.0,2023-09-15,put,TSLA230915P00005000,0.01,0.0,0.01,0.0,0.0,1.0,1148.0,4.12500484375,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-07 14:01:14,"{'contractSymbol': 'TSLA230915P00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 0.01, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1148, 'bid': 0.0, 'ask': 0.01, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1691416874, 'impliedVolatility': 4.12500484375, 'inTheMoney': False}"
5.0,2023-10-20,call,TSLA231020C00005000,228.94,219.45,221.7,0.0,0.0,24.0,81.0,5.626956091308593,TSLA,False,TSLA,225.6,2023-08-16 20:00:00,2023-08-15 18:27:58,"{'contractSymbol': 'TSLA231020C00005000', 'strike': 5.0, 'currency': 'USD', 'lastPrice': 228.94, 'change': 0.0, 'percentChange': 0.0, 'volume': 24, 'openInterest': 81, 'bid': 219.45, 'ask': 221.7, 'contractSize': 'REGULAR', 'expiration': 1697760000, 'lastTradeDate': 1692124078, 'impliedVolatility': 5.626956091308593, 'inTheMoney': True}"
